node_id,proto_mean,seq_mean,stddev_mean,N_IN_Conn_P_SrcIP_mean,min_mean,state_number_mean,mean_mean,N_IN_Conn_P_DstIP_mean,drate_mean,srate_mean,max_mean,attack
192.168.100.1->192.168.100.147,0,4521,0,6,0.000055,2,0.000055,1,0,0,0.000055,0
192.168.100.1->192.168.100.148,0,4280,0,6,0.000058,2,0.000058,1,0,0,0.000058,0
192.168.100.1->192.168.100.149,0,5412,0,6,0.000111,2,0.000111,1,0,0,0.000111,0
192.168.100.1->192.168.100.150,0,4287,0,6,0.000065,2,0.000065,1,0,0,0.000065,0
192.168.100.1->192.168.100.27,0,5897.66666666667,0,2.33333333333333,0.000371333333333333,2,0.000371333333333333,1,0,0,0.000371333333333333,0
192.168.100.1->192.168.100.3,0,5568.5,0.000002,3.5,0.00004325,2,0.00004525,26,0.00041774999999995,0.00041774999999995,0.000047,0
192.168.100.1->192.168.100.4,0,12908.75,0,3.5,0.00001525,2,0.00001525,1.75,0,0,0.00001525,0
192.168.100.1->192.168.100.5,0,22200,0,3,0.000134,2,0.000134,7,0,0,0.000134,0
192.168.100.147->129.250.35.250,4,16962.25,0,11.75,0.00718049999999997,2,0.00718049999999997,1,0,0,0.00718049999999997,0
192.168.100.147->192.168.100.1,0,9371.25,0.00001225,11.75,0.000111,2,0.00012575,8.25,0.00349675,0.00349675,0.00014175,0
192.168.100.147->192.168.100.3,3.49025970357257,95615.5319648204,0.987243479477956,82.9495564888228,1.48977153955818,2.98017288461176,2.76793161303979,99.8224354507618,0.727257310469124,2.13649460286069,3.63095523328311,1
192.168.100.147->192.168.100.5,#,17908.0746031746,0.000106734391534392,69.0787037037037,0.0141754494708995,1.9281746031746,0.0142803630952381,89.3929894179894,0.000355943650793651,0.00714047962962963,0.0144157634920635,1
192.168.100.147->192.168.100.6,2.99063032367973,10250.6371379898,0.00616546592844974,43.114139693356,0.000128316865417376,1.50596252129472,0.00648088160136286,99.4258943781942,50.4577227325383,182.171676798978,0.0137079599659285,1
192.168.100.147->192.168.100.7,3.6221661794676,103341.088843709,0.708342436818144,85.179457871467,0.703666168450902,3.61572882872805,1.63717921050161,85.2157935183879,0.0956399563125921,0.55948226200285,2.37139893373931,1
192.168.100.147->192.168.217.2,4,17154,0,12.5714285714286,0,4,0,15.6428571428571,0,0.371312785714286,0,0
192.168.100.147->224.0.0.251,4,9416.9,0,14.3,0,4,0,21.2,0,0,0,0
192.168.100.147->52.11.124.117,3,10608,0,6,0.822892,6,0.822892,4,15.797942,17.013168,0.822892,0
192.168.100.147->52.201.147.106,3,14456,0,18,1.766426,6,1.766426,1,6.793378,6.793378,1.766426,0
192.168.100.147->8.8.8.8,4,17181.8571428571,0.00619907142857143,13.5,0.0324584285714286,2,0.0386574285714286,15.5,2.5350185,29761.9040178571,0.0448565,0
192.168.100.148->192.168.100.1,0,5249.6,0.000027,14.4,0.0000986,2,0.0001364,10.2,0.00182859999999998,0.00182859999999998,0.0001702,0
192.168.100.148->192.168.100.3,#,113128.321114981,0.802994046553167,81.3801772719271,1.35628378412267,2.96896653354459,2.39201686807661,99.8172864854387,0.278070278610862,2.34231735531133,3.12666606056758,1
192.168.100.148->192.168.100.5,3.29499735309688,17209.062731604,2.51167284277395E-05,70.8394653255691,0.0161827391476972,1.93065113816834,0.0162061701958708,89.7034145050291,0.000354613684489148,0.00707066900476443,0.0162839939121228,1
192.168.100.148->192.168.100.6,3.62050041105543,120296.753980876,0.796475438512958,83.1905633416849,0.666433720164227,3.2027971343564,1.7833277122979,83.3398278460695,0.171937223616603,0.706732752446758,2.48057784023645,1
192.168.100.148->192.168.100.7,2.99085794655415,13611.7517580872,0.217304682841069,84.1378340365682,0.12392203164557,1.18002812939522,0.340732239099859,92.3417721518987,26.5991093481013,95.481151164557,0.560428023206751,1
192.168.100.148->192.168.217.2,4,15845.7333333333,0,18.8666666666667,0,4,0,15.3333333333333,0,0.373256333333333,0,0
192.168.100.148->224.0.0.251,4,6840.93333333333,0,15.7333333333333,0,4,0,16.8,0,0,0,0
192.168.100.148->27.124.125.250,4,15470.25,0,14,0.048516,2,0.048516,2.75,0,0,0.048516,0
192.168.100.148->52.11.124.117,3,5426,0,10,1.525284,6,1.525284,4,9.834234,10.489849,1.525284,0
192.168.100.148->52.201.147.106,3,5435,0,10,1.388327,6,1.388327,3,7.923205,8.643497,1.388327,0
192.168.100.148->8.8.8.8,#,15359.6875,0.0093103125,14.75,0.024761625,2,0.0340719375,15.125,75.602398375,41666.6640625,0.04338225,0
192.168.100.149->192.168.100.1,0,2738.25,0.000019,14.75,0.0000765,2,0.00010075,9.5,,0.00205474999999997,0.000125,0
192.168.100.149->192.168.100.3,3.49273544043974,138564.175851917,0.97913337742007,80.6943775222655,1.06614309281502,3.06186725925411,2.42831456474177,,0.349634979413095,4.36643954725334,3.18335795467097,1
192.168.100.149->192.168.100.5,3.61584140367933,142391.5,1.08036803312659,83.9427207971882,0.73461080919552,3.38965749326952,1.98637141440136,#,0.00268838456990353,0.188239117467937,3.18350577148145,1
192.168.100.149->192.168.100.6,2.98797250859107,11395.3058419244,0.00546103865979381,37.8719931271478,0.00205995704467354,1.49398625429553,0.00744745274914089,99.2766323024055,59.7408387774914,173.283395284364,0.0132266743986254,1
