Student_ID,Study_Hours,Age,Attendance,Family_Income,Internet_Usage_Hours,Exam_Score
1,4.79,25,68.22,26401.83,5.13,68.46
2,2.99,25,72.62,29899.43,10.14,58.53
3,2.76,24,87.15,84956.82,6.63,50.72
4,2.76,20,87.14,15797.16,0.99,72.44
5,9.3,18,87.15,44019.48,2.1,60.92
6,5.73,25,100.0,22427.13,0.48,52.93
7,2.26,18,87.71,22116.67,10.78,62.24
8,4.94,25,,72323.12,3.26,57.02
9,4.0,21,91.54,56549.67,0.91,90.25
10,0.43,20,88.51,55946.92,3.9,80.58
11,1.34,20,78.85,87110.34,3.37,69.9
12,4.21,23,89.59,27416.59,1.55,87.76
13,8.73,24,74.27,49699.87,0.42,70.93
14,2.78,23,79.63,20348.45,3.9,59.66
15,2.12,23,77.15,36017.12,2.57,88.28
16,3.63,23,82.82,23929.59,,76.47
17,2.01,23,100.0,29357.3,2.57,57.55
18,2.64,23,63.33,45965.27,6.69,67.72
19,3.3,22,88.86,12882.19,2.81,59.49
20,1.28,20,65.87,176866.16,2.88,53.41
21,5.94,23,77.28,10878.94,7.32,81.11
22,1.07,25,92.89,9020.28,1.81,92.91
23,0.95,20,82.64,76290.2,0.5,53.22
24,3.87,20,71.22,54857.62,0.1,76.76
25,5.63,19,,47179.17,4.92,62.19
26,3.8,22,88.8,47358.94,3.39,64.15
27,3.04,23,74.7,26608.28,4.26,62.89
28,2.61,18,84.16,11997.71,0.84,59.63
29,2.28,21,82.46,28802.69,0.51,70.58
30,6.88,24,75.48,14625.98,0.05,60.03
31,4.24,25,100.0,64705.91,1.51,73.25
32,2.43,18,88.34,23568.08,3.12,69.4
33,1.87,22,61.75,12798.11,1.74,67.13
34,5.18,21,83.86,20145.83,2.01,59.11
35,6.77,22,75.38,39012.54,8.21,63.08
36,6.36,25,90.52,16198.08,1.5,79.06
37,1.6,20,74.07,12835.91,2.53,76.01
38,2.6,21,80.85,33500.6,5.36,58.27
39,2.24,20,87.05,33539.19,1.77,71.19
40,2.88,25,90.66,17047.37,3.41,79.02
41,5.9,18,70.0,17607.24,6.94,49.97
42,8.2,25,78.65,33151.56,10.45,76.52
43,4.36,18,77.25,7307.99,0.56,62.05
44,1.93,21,75.47,7580.11,9.14,76.85
45,3.24,21,99.65,14092.53,2.37,60.84
46,9.23,23,86.05,22201.11,1.05,48.34
47,3.56,22,69.39,35589.89,2.15,50.47
48,2.62,23,91.18,101500.66,13.7,70.58
49,2.8,22,100.0,58214.73,2.37,73.12
50,4.34,23,92.32,23296.43,1.4,59.15
51,1.65,20,66.81,26446.67,3.51,77.66
52,2.2,21,77.16,10913.15,,50.06
53,6.3,18,94.67,26458.64,0.28,69.21
54,4.26,22,74.92,20748.04,0.48,55.47
55,3.59,25,86.44,35970.22,0.48,62.18
56,6.51,22,89.75,12778.15,0.58,70.57
57,1.83,18,72.73,42933.68,0.52,59.68
58,2.56,23,81.4,106880.32,3.58,65.39
59,4.16,22,49.59,24394.57,0.7,82.08
60,4.05,24,71.76,38620.58,1.48,63.08
61,0.85,20,79.47,50067.61,7.95,80.03
62,2.36,21,69.52,18749.11,2.25,56.44
63,2.93,18,98.32,32914.98,3.85,76.36
64,4.49,21,67.7,27209.82,0.66,87.3
65,4.04,24,77.6,29375.27,0.75,40.34
66,3.14,22,83.31,13417.18,0.15,60.44
67,0.43,22,96.41,27503.24,0.65,76.92
68,3.27,25,67.64,42116.65,1.14,67.56
69,3.49,24,,99312.75,0.68,74.45
70,14.6,18,82.1,63789.49,0.33,62.75
71,2.86,25,72.18,186813.15,0.45,71.04
72,4.17,20,86.62,13485.73,2.16,68.13
73,7.24,25,83.99,58987.96,0.81,84.01
74,5.68,19,76.0,31729.68,1.59,73.05
75,8.43,18,82.7,193072.81,2.45,74.05
76,0.87,19,78.15,12997.75,4.1,65.06
77,1.37,24,83.14,12635.31,0.14,64.15
78,2.07,23,88.62,15686.36,5.62,64.81
79,0.72,19,97.86,3977.84,3.46,74.73
80,3.51,20,69.62,16761.18,0.3,64.95
81,1.48,25,100.0,13585.8,7.24,73.48
82,9.15,23,62.48,30802.6,8.88,94.9
83,1.69,25,80.48,36591.83,0.22,80.45
84,2.57,19,87.88,145590.59,1.13,66.09
85,5.91,25,84.81,63283.6,5.74,84.41
86,1.06,24,75.77,16007.08,4.83,65.1
87,0.67,23,79.92,11985.19,0.71,45.54
88,3.83,24,77.07,41886.85,0.82,57.9
89,4.05,19,76.11,8199.19,1.62,47.55
90,5.79,24,90.5,139848.21,2.32,65.78
91,4.87,20,85.57,77768.84,3.37,70.22
92,4.16,19,75.07,17636.78,1.61,90.12
93,1.87,19,91.0,5757.04,2.17,73.92
94,3.97,19,85.07,90988.2,4.82,67.37
95,4.15,18,90.13,24268.01,0.13,79.95
96,1.81,25,88.3,81963.94,1.02,43.47
97,10.84,18,73.71,6406.16,4.37,72.83
98,4.71,18,76.4,15686.61,7.9,79.25
99,1.4,20,89.47,27030.45,2.51,52.26
100,5.81,23,88.1,28065.11,2.66,83.73
