Study_Hours,Age,Attendance,Family_Income,Internet_Usage_Hours,Gender,Study_Mode,Exam_Score
6.0,25,80.5,33700.0,5.5,Female,Online,75.4
4.7,23,73.5,28100.0,4.3,Male,Online,67.3
6.3,25,100.0,41300.0,3.0,Female,Offline,86.8
22.0,18,86.3,17400.0,5.2,Male,Offline,78.0
4.5,25,59.7,124900.0,3.1,Female,Hybrid,62.7
4.5,21,81.9,,1.7,Male,Hybrid,59.4
22.0,28,,50900.0,5.3,Male,Online,84.1
6.5,18,88.5,38000.0,3.8,Female,Online,79.6
4.1,25,72.1,26100.0,1.4,Male,Online,60.3
6.1,21,78.9,65400.0,2.7,Male,Offline,67.3
4.1,23,85.0,49600.0,1.7,Female,Online,66.5
4.1,25,88.7,20300.0,0.9,Male,Offline,76.8
5.5,21,68.0,87500.0,4.4,Male,Offline,67.5
1.2,20,76.7,66900.0,5.9,Female,Offline,47.3
1.6,26,75.3,500000.0,0.9,Female,Offline,55.1
,20,73.5,53800.0,3.8,Male,Online,59.3
3.0,26,97.7,43500.0,2.0,Male,Hybrid,58.9
5.6,19,84.0,31300.0,2.3,Female,Hybrid,69.7
3.2,19,67.4,96000.0,2.1,Female,Online,57.8
2.2,19,89.2,75300.0,1.7,Male,Hybrid,67.5
7.9,23,100.0,16400.0,3.1,Female,Offline,86.1
4.5,20,90.3,15800.0,1.8,Male,Hybrid,69.2
5.1,26,64.8,29200.0,3.4,Male,Hybrid,79.8
2.2,21,75.2,64900.0,2.9,Male,Offline,56.2
3.9,18,92.7,145900.0,2.6,Male,Online,76.1
5.2,21,72.9,19900.0,1.6,Male,Online,81.1
2.7,18,,42100.0,2.1,Female,Offline,56.7
5.8,22,87.7,29400.0,4.1,Female,Offline,75.0
3.8,21,70.7,120100.0,3.8,Female,Online,61.1
4.4,25,79.4,70400.0,1.5,Female,Online,68.2
3.8,25,47.6,69700.0,3.1,Male,Hybrid,62.8
8.7,24,69.8,,4.1,Male,Hybrid,79.5
5.0,20,77.5,31100.0,0.5,Male,Offline,72.3
2.9,18,67.5,24600.0,3.8,Male,Online,58.6
6.6,18,96.3,16700.0,2.0,Female,Online,80.8
2.6,29,65.7,75000.0,3.9,Male,Online,51.8
5.4,28,75.6,65300.0,1.9,Male,Hybrid,77.8
1.1,20,81.3,260200.0,0.3,Female,Online,65.5
,23,94.4,185800.0,0.6,Female,Offline,68.9
5.4,24,65.6,39300.0,3.1,Female,Online,68.2
6.5,23,91.6,,3.4,Female,Offline,75.7
5.3,23,80.1,101900.0,1.6,Male,Offline,71.3
4.8,23,70.2,71800.0,4.0,Male,Hybrid,79.0
4.4,20,84.6,23500.0,0.5,Female,Online,78.5
2.0,23,82.0,33000.0,2.9,Male,Online,55.8
3.6,25,74.0,19100.0,1.2,Male,Online,68.2
4.1,28,80.7,107400.0,2.0,Male,Hybrid,67.7
7.1,28,76.1,43000.0,3.1,Female,Hybrid,81.9
5.7,19,81.1,22800.0,1.7,Male,Offline,79.2
1.5,22,86.6,48400.0,2.4,Female,Offline,65.1
5.6,18,95.9,43900.0,4.5,Male,Offline,70.6
4.2,29,67.6,28300.0,2.1,Male,Online,67.7
3.6,18,100.0,18600.0,4.3,Male,Hybrid,59.2
6.2,22,60.5,48400.0,1.3,Female,Offline,68.7
7.1,29,78.5,37000.0,3.8,Male,Online,82.8
6.9,20,85.9,59400.0,5.2,Female,Offline,72.2
3.3,21,82.8,,0.0,Female,Online,65.6
4.4,20,,72400.0,1.8,Female,Online,69.6
5.7,18,77.9,39100.0,3.9,Male,Offline,76.0
7.0,18,75.1,39700.0,2.7,Male,Online,73.7
4.0,29,74.1,77800.0,3.6,Male,Offline,48.0
4.6,29,88.5,30500.0,2.1,Male,Online,68.6
2.8,22,83.6,19300.0,3.1,Female,Online,69.3
2.6,23,73.1,,2.8,Female,Online,62.5
6.6,20,89.0,57200.0,4.8,Female,Online,83.6
7.7,29,83.1,44100.0,3.4,Male,Offline,76.7
4.9,26,88.1,51500.0,3.5,Female,Online,63.8
7.0,22,86.3,22200.0,2.4,Male,Offline,84.0
5.7,25,71.7,19400.0,2.3,Female,Offline,74.9
3.7,18,74.4,15400.0,2.4,Male,Offline,67.6
5.7,22,87.5,28000.0,3.6,Male,Hybrid,79.6
8.1,20,86.1,41700.0,2.4,Female,Offline,88.1
4.9,29,,29900.0,3.4,Female,Online,72.5
8.1,18,81.2,32300.0,6.1,Female,Online,83.1
0.5,21,92.8,85400.0,4.3,Female,Online,56.6
6.6,22,74.1,27800.0,2.5,Male,Offline,81.8
5.2,24,85.5,36600.0,4.8,Female,Online,75.7
4.4,18,78.0,60900.0,2.4,Female,Offline,77.3
5.2,20,77.8,30200.0,0.0,Female,Offline,73.1
1.0,19,91.0,44200.0,1.5,Male,Online,62.4
4.6,26,88.3,74500.0,0.2,Male,Hybrid,73.9
5.7,27,88.1,104600.0,2.5,Female,Online,72.5
8.0,23,93.1,19800.0,3.0,Male,Online,82.7
4.0,27,80.2,93300.0,5.5,Female,Offline,66.3
,20,86.8,35300.0,3.5,Male,Offline,67.8
4.0,25,76.9,24000.0,2.7,Male,Offline,69.3
6.8,25,83.2,33400.0,4.2,Male,Offline,76.4
5.7,19,78.7,132400.0,0.0,Male,Online,78.6
3.9,23,81.0,35400.0,3.4,Female,Hybrid,70.8
6.0,24,86.0,27000.0,4.2,Female,Hybrid,67.5
5.2,19,71.8,45100.0,0.8,Female,Offline,74.1
6.9,28,100.0,23200.0,4.7,Male,Online,81.0
3.6,27,69.9,17400.0,3.5,Female,Offline,66.9
4.3,19,67.9,19100.0,2.4,Female,Online,60.4
4.2,27,91.6,19100.0,3.9,Female,Online,76.7
2.1,18,87.9,19900.0,6.4,Male,Hybrid,57.4
5.6,25,86.2,19500.0,3.3,Male,Online,76.0
5.5,18,,45700.0,3.4,Male,Hybrid,72.2
5.0,26,79.9,500000.0,2.3,Female,Offline,75.2
,28,71.0,27700.0,1.7,Female,Online,69.9
2.2,23,80.8,83100.0,4.2,Female,Offline,64.7
4.2,24,73.2,34300.0,1.7,Male,Hybrid,61.7
4.3,27,89.8,48000.0,3.1,Male,Offline,71.4
3.4,24,78.5,20700.0,2.3,Female,Hybrid,67.9
4.7,27,71.7,21400.0,3.7,Male,Offline,66.7
5.8,20,,16300.0,3.5,Male,Offline,71.3
8.8,19,84.1,20600.0,4.6,Male,Hybrid,83.3
5.3,26,74.4,24800.0,2.2,Male,Online,73.7
5.5,25,71.8,20800.0,2.6,Female,Offline,63.4
4.9,29,82.4,17800.0,1.5,Male,Online,78.7
1.2,27,82.4,18900.0,2.3,Male,Hybrid,55.4
4.9,24,74.9,33500.0,3.6,Male,Hybrid,69.8
5.1,26,75.3,21900.0,4.1,Male,Online,71.1
9.9,21,82.3,28600.0,1.6,Female,Offline,91.0
,21,65.5,36000.0,4.3,Female,Hybrid,64.4
5.6,18,65.9,50200.0,5.0,Male,Online,57.9
4.9,25,72.8,16200.0,3.6,Male,Offline,72.4
2.7,29,77.9,63200.0,5.8,Male,Hybrid,63.1
7.3,20,83.1,44700.0,1.8,Male,Online,74.6
6.5,24,94.8,17600.0,1.1,Male,Offline,81.3
6.6,29,88.6,77000.0,0.3,Male,Online,77.5
3.2,19,78.4,91100.0,5.2,Female,Hybrid,59.8
7.8,19,79.8,16900.0,4.0,Male,Hybrid,84.4
2.2,24,70.0,24700.0,2.9,Female,Hybrid,63.4
6.2,23,79.8,64200.0,3.4,Female,Offline,81.3
9.4,20,77.1,56400.0,1.3,Male,Hybrid,97.6
3.0,26,83.2,21100.0,6.7,Female,Hybrid,57.5
3.9,27,71.7,22000.0,3.2,Female,Online,59.4
5.2,23,85.2,28900.0,3.2,Female,Hybrid,72.5
4.0,27,95.3,,4.1,Female,Online,72.1
1.9,27,78.9,43900.0,3.7,Female,Offline,51.7
5.1,23,84.0,28800.0,3.3,Female,Online,80.6
2.9,18,86.9,33600.0,1.8,Male,Online,70.8
5.9,21,76.0,56300.0,3.7,Female,Online,72.2
3.2,27,82.2,16100.0,5.8,Female,Offline,57.0
8.1,23,80.1,23700.0,5.0,Female,Online,77.6
3.4,23,81.0,52500.0,5.4,Male,Offline,62.1
4.4,28,72.3,82700.0,2.2,Female,Online,67.6
6.6,29,80.2,36500.0,1.5,Male,Online,84.9
2.5,22,85.0,37800.0,2.8,Female,Offline,61.1
5.5,18,94.5,18400.0,3.1,Male,Hybrid,78.8
7.6,25,89.6,32800.0,4.6,Male,Online,81.3
1.8,22,100.0,37800.0,0.5,Female,Offline,67.8
5.4,29,72.3,23300.0,5.3,Female,Hybrid,67.0
5.5,29,88.7,24400.0,2.8,Male,Offline,79.1
6.6,29,81.8,29200.0,2.4,Female,Online,82.8
,22,100.0,15600.0,1.5,Male,Online,70.0
2.4,24,71.9,26700.0,0.5,Male,Hybrid,66.3
6.0,21,71.6,22100.0,4.2,Male,Online,67.3
5.6,23,74.0,26900.0,3.1,Male,Hybrid,74.2
